2026-04-20 16:03:37,428 | DEBUG | autonomous_drone | RL agent selected action: forward
2026-04-20 16:03:37,682 | DEBUG | autonomous_drone | Move command: vx=2.00 vy=0.00 vz=0.00 d=0.20
2026-04-20 16:03:37,683 | INFO | autonomous_drone | Step 85 completed. action=forward
2026-04-20 16:03:37,788 | DEBUG | autonomous_drone | RL agent selected action: right
2026-04-20 16:03:38,017 | DEBUG | autonomous_drone | Move command: vx=0.00 vy=1.00 vz=0.00 d=0.20
2026-04-20 16:03:38,018 | INFO | autonomous_drone | Step 86 completed. action=right
2026-04-20 16:03:38,120 | DEBUG | autonomous_drone | RL agent selected action: forward
2026-04-20 16:03:38,332 | DEBUG | autonomous_drone | Move command: vx=2.00 vy=0.00 vz=0.00 d=0.20
2026-04-20 16:03:38,333 | INFO | autonomous_drone | Step 87 completed. action=forward
2026-04-20 16:03:38,439 | DEBUG | autonomous_drone | RL agent selected action: forward
2026-04-20 16:03:38,672 | DEBUG | autonomous_drone | Move command: vx=2.00 vy=0.00 vz=0.00 d=0.20
2026-04-20 16:03:38,672 | INFO | autonomous_drone | Step 88 completed. action=forward
2026-04-20 16:03:38,776 | DEBUG | autonomous_drone | RL agent selected action: right
2026-04-20 16:03:38,993 | DEBUG | autonomous_drone | Move command: vx=0.00 vy=1.00 vz=0.00 d=0.20
2026-04-20 16:03:38,994 | INFO | autonomous_drone | Step 89 completed. action=right
2026-04-20 16:03:39,097 | DEBUG | autonomous_drone | RL agent selected action: right
2026-04-20 16:03:39,324 | DEBUG | autonomous_drone | Move command: vx=0.00 vy=1.00 vz=0.00 d=0.20
2026-04-20 16:03:39,325 | INFO | autonomous_drone | Step 90 completed. action=right
2026-04-20 16:03:39,428 | DEBUG | autonomous_drone | RL agent selected action: hover
2026-04-20 16:03:39,644 | DEBUG | autonomous_drone | Move command: vx=0.00 vy=0.00 vz=0.00 d=0.20
2026-04-20 16:03:39,644 | INFO | autonomous_drone | Step 91 completed. action=hover
2026-04-20 16:03:39,747 | DEBUG | autonomous_drone | RL agent selected action: forward
2026-04-20 16:03:39,969 | DEBUG | autonomous_drone | Move command: vx=2.00 vy=0.00 vz=0.00 d=0.20
2026-04-20 16:03:39,970 | INFO | autonomous_drone | Step 92 completed. action=forward
2026-04-20 16:03:40,072 | DEBUG | autonomous_drone | RL agent selected action: forward
2026-04-20 16:03:40,283 | DEBUG | autonomous_drone | Move command: vx=2.00 vy=0.00 vz=0.00 d=0.20
2026-04-20 16:03:40,283 | INFO | autonomous_drone | Step 93 completed. action=forward
2026-04-20 16:03:40,386 | DEBUG | autonomous_drone | RL agent selected action: left
2026-04-20 16:03:40,601 | DEBUG | autonomous_drone | Move command: vx=0.00 vy=-1.00 vz=0.00 d=0.20
2026-04-20 16:03:40,602 | INFO | autonomous_drone | Step 94 completed. action=left
2026-04-20 16:03:40,705 | DEBUG | autonomous_drone | RL agent selected action: left
